GCA_000798955.1	117550/3064/2
GCA_000802045.1	117551/1187/2
GCA_000802095.1	117551/1199/2
GCA_000803105.1	117550/3095/2
GCA_000806015.1	117549/1429/2
GCA_000806115.1	117549/1438/2
GCA_000806155.1	117549/1450/2
GCA_000808095.1	117550/3126/2
GCA_000814665.1	117550/3155/2
GCA_000814675.1	117550/3194/2
GCA_000817085.1	117551/1207/2
GCA_000817105.1	117551/1219/2
GCA_000817115.1	117551/1225/2
GCA_000824785.1	117550/3227/2
GCA_000824805.1	117550/3258/2
GCA_000824825.2	117550/2789/2
GCA_000824845.1	117550/3294/2
GCA_000828835.1	117550/3305/2
GCA_000828975.1	117550/3327/2
GCA_000829755.1	117550/3335/2
GCA_000830175.1	117551/1237/2
GCA_000830255.1	117551/1243/2
GCA_000830275.1	117549/1455/2
GCA_000830295.1	117549/1467/2
GCA_000830315.1	117549/1473/2
GCA_000830415.1	117550/3354/2
GCA_000830985.1	117550/3360/2
GCA_000831005.1	117550/3375/2
GCA_000831085.1	117550/3384/2
GCA_000875945.1	117550/3399/2
GCA_000935965.1	117550/3407/2
GCA_000938735.2	117550/3422/2
GCA_000949895.1	117550/3433/2
GCA_000952975.1	117550/3448/2
GCA_000953215.1	117550/3457/2
GCA_000953435.1	117550/3471/2
GCA_000953475.1	117550/3479/2
GCA_000953695.1	117550/3496/2
GCA_000953735.1	117550/3506/2
GCA_000954095.1	117550/179/2
GCA_000955785.1	117550/3521/2
GCA_000955795.1	117550/3530/2
GCA_000955875.1	117550/3545/2
GCA_000960885.1	117549/1485/2
GCA_000961575.1	117551/1254/2
GCA_000961585.1	117551/1260/2
GCA_000961595.1	117551/1272/2
GCA_000961635.1	117551/1278/2
GCA_000961645.1	117551/1290/2
GCA_000961655.1	117551/1296/2
GCA_000961695.1	117551/1308/2
GCA_000961725.1	117551/1314/2
GCA_000961745.1	117551/1327/2
GCA_000961765.1	117551/1333/2
GCA_000961795.1	117551/1345/2
GCA_000961805.1	117551/1351/2
GCA_000961845.1	117551/1363/2
GCA_000963515.1	117550/3552/2
GCA_000964245.1	117550/3569/2
GCA_000965745.1	117549/1491/2
GCA_000967895.1	117550/3578/2
GCA_000970895.1	117550/181/2
GCA_000972765.1	117550/3593/2
GCA_000974665.1	117550/3601/2
GCA_000980375.1	117551/1369/2
GCA_000980495.1	117551/1380/2
GCA_000980705.1	117551/1386/2
GCA_000980735.1	117551/1398/2
GCA_000981625.1	117551/1141/2
GCA_000981645.1	117551/1159/2
GCA_000981705.1	117551/1175/2
GCA_000985875.1	117550/3617/2
GCA_000985895.1	117550/3626/2
GCA_000987045.1	117551/1193/2
GCA_000987375.1	117551/1213/2
GCA_000987445.1	117551/1231/2
GCA_000989185.1	117551/1249/2
GCA_000989195.1	117551/1266/2
GCA_000989305.1	117551/1284/2
GCA_000989515.1	117551/1302/2
GCA_000989525.1	117551/1321/2
GCA_000989565.1	117551/1339/2
GCA_000989675.1	117551/1357/2
GCA_000989765.1	117551/1374/2
GCA_000989955.1	117551/1393/2
GCA_000990005.1	117551/1125/2
GCA_000990145.1	117551/1410/2
GCA_000990305.1	117551/1417/2
GCA_000990325.1	117551/1428/2
GCA_000990355.1	117551/1434/2
GCA_000990445.1	117551/1446/2
GCA_000990565.1	117551/1452/2
GCA_000990585.1	117551/1465/2
GCA_000990945.1	117551/1470/2
GCA_000991135.1	117551/1482/2
GCA_000991185.1	117551/1488/2
GCA_000991205.1	117551/1500/2
GCA_000991245.1	117551/1506/2
GCA_000991405.1	117551/1518/2
GCA_000991415.1	117551/1524/2
GCA_000991575.1	117551/1536/2
GCA_000991645.1	117551/1542/2
GCA_000991805.1	117551/1554/2
GCA_000992015.1	117551/1560/2
GCA_000992085.1	117551/1572/2
GCA_000992165.1	117551/1578/2
GCA_000992305.1	117551/1590/2
GCA_000992325.1	117551/1596/2
GCA_000992345.1	117551/1604/2
GCA_000992395.1	117551/1612/2
GCA_000992445.2	117551/1623/2
GCA_000992695.1	117551/1629/2
GCA_000993025.1	117551/1642/2
GCA_000993115.1	117551/1646/2
GCA_000993205.1	117551/1660/2
GCA_000993275.1	117551/1665/2
GCA_000993405.1	117551/1677/2
GCA_000993535.1	117551/1422/2
GCA_000993565.1	117551/1440/2
GCA_000993595.1	117551/1458/2
GCA_000993615.1	117551/1476/2
GCA_000993685.1	117551/1494/2
GCA_000993955.1	117551/1512/2
GCA_000994705.1	117551/1530/2
GCA_000994805.1	117551/1548/2
GCA_000994815.1	117551/1566/2
GCA_000995065.1	117551/1584/2
GCA_000995125.1	117551/1600/2
GCA_000995135.1	117551/1618/2
GCA_000995185.1	117551/1634/2
GCA_000995415.1	117551/1652/2
GCA_000995845.1	117551/1671/2
GCA_000995965.1	117551/1404/2
GCA_000996025.1	117551/1689/2
GCA_000996035.1	117551/1695/2
GCA_000996085.1	117551/1707/2
GCA_000996205.1	117551/1712/2
GCA_000996245.1	117551/1727/2
GCA_000996275.1	117551/1733/2
GCA_000996355.1	117551/1745/2
GCA_000996605.1	117551/1751/2
GCA_000996695.1	117551/1762/2
GCA_000996895.1	117551/1768/2
GCA_000997105.1	117551/1779/2
GCA_000997355.1	117551/1785/2
GCA_000997385.1	117551/1797/2
GCA_000997405.1	117551/1803/2
GCA_000997465.1	117551/1815/2
GCA_000997475.1	117551/1821/2
GCA_000997945.1	117551/1833/2
GCA_000998025.1	117551/1839/2
GCA_000998045.1	117551/1851/2
GCA_000998135.1	117551/1857/2
GCA_000998185.1	117551/1869/2
GCA_000998275.1	117551/1874/2
GCA_000998425.1	117551/1887/2
GCA_000998805.1	117551/1892/2
GCA_000999025.1	117551/1903/2
GCA_000999095.1	117551/1909/2
GCA_000999175.1	117551/1921/2
GCA_000999315.1	117551/1927/2
GCA_000999395.1	117551/1940/2
GCA_000999465.1	117551/1945/2
GCA_000999595.1	117551/1957/2
GCA_000999715.1	117551/1701/2
GCA_001000035.1	117551/1720/2
GCA_001000065.1	117551/1739/2
GCA_001000545.1	117551/1757/2
GCA_001000675.1	117551/1773/2
GCA_001000865.1	117551/1791/2
GCA_001001045.1	117551/1809/2
GCA_001001115.1	117551/1827/2
GCA_001001185.1	117551/1845/2
